Valores do fornecedor: 1
inf,inf,inf,inf
inf,10.0,105.0,108.0
inf,inf,100.0,102.0
inf,inf,inf,10.0
Valores do fornecedor: 2
inf,inf,inf,inf
inf,80.0,95.0,130.0
inf,inf,20.0,60.0
inf,inf,inf,50.0
Valores do fornecedor: 3
inf,inf,inf,inf
inf,inf,inf,113.0
inf,inf,inf,inf
inf,inf,inf,45.0
Valores do fornecedor: 4
inf,inf,inf,inf
inf,inf,97.0,110.0
inf,inf,inf,62.0
inf,inf,inf,inf
Valores do fornecedor: 5
inf,inf,inf,inf
inf,89.0,inf,inf
inf,inf,inf,inf
inf,inf,inf,12.0
